threshold,precision,recall,f1,f05,tp,fp,fn,eligible_recall_070
0.0036735401954501867,0.01807909604519774,1.0,0.03551609322974473,0.02249718785151856,32,1738,0,True
0.0036730726715177298,0.018068887634105024,1.0,0.03549639489739324,0.022484541877459248,32,1739,0,True
0.0036730689462274313,0.01805869074492099,1.0,0.03547671840354767,0.02247191011235955,32,1740,0,True
0.0036708866246044636,0.01804850535815003,1.0,0.03545706371191136,0.022459292532285232,32,1741,0,True
0.0036690838169306517,0.018038331454340473,1.0,0.035437430786267994,0.02244668911335578,32,1742,0,True
0.0036679059267044067,0.018028169014084508,1.0,0.03541781959048146,0.022434099831744252,32,1743,0,True
0.0036670747213065624,0.018018018018018018,1.0,0.035398230088495575,0.02242152466367713,32,1744,0,True
0.003665865631774068,0.018007878446820485,1.0,0.035378662244333885,0.022408963585434174,32,1745,0,True
0.003665178082883358,0.01799775028121485,1.0,0.03535911602209945,0.022396416573348264,32,1746,0,True
0.0036651603877544403,0.017987633501967398,1.0,0.0353395913859746,0.02238388360380526,32,1747,0,True
0.0036646274384111166,0.017977528089887642,1.0,0.03532008830022075,0.02237136465324385,32,1748,0,True
0.0036633950658142567,0.017967434025828188,1.0,0.03530060672917816,0.022358859698155393,32,1749,0,True
0.003662779228761792,0.017957351290684626,1.0,0.03528114663726571,0.0223463687150838,32,1750,0,True
0.003662048140540719,0.0179472798653954,1.0,0.03526170798898071,0.02233389168062535,32,1751,0,True
0.0036601319443434477,0.017937219730941704,1.0,0.03524229074889868,0.022321428571428572,32,1752,0,True
0.0036601105239242315,0.017927170868347338,1.0,0.035222894881673086,0.022308979364194088,32,1753,0,True
0.003659487934783101,0.01791713325867861,1.0,0.0352035203520352,0.022296544035674472,32,1754,0,True
0.0036588534712791443,0.01790710688304421,1.0,0.035184167124793844,0.022284122562674095,32,1755,0,True
0.0036579063162207603,0.017897091722595078,1.0,0.035164835164835165,0.022271714922048998,32,1756,0,True
0.003657883731648326,0.017887087758524316,1.0,0.03514552443712246,0.022259321090706732,32,1757,0,True
0.003655871842056513,0.017877094972067038,1.0,0.03512623490669594,0.02224694104560623,32,1758,0,True
0.0036550608929246664,0.01786711334450028,1.0,0.03510696653867252,0.022234574763757644,32,1759,0,True
0.0036548215430229902,0.017857142857142856,1.0,0.03508771929824561,0.022222222222222223,32,1760,0,True
0.003652514424175024,0.01784718349135527,1.0,0.03506849315068493,0.02220988339811216,32,1761,0,True
0.0036519502755254507,0.017837235228539576,1.0,0.03504928806133625,0.022197558268590455,32,1762,0,True
0.003651945386081934,0.017827298050139277,1.0,0.03503010399562124,0.022185246810870772,32,1763,0,True
0.003650812665000558,0.017817371937639197,1.0,0.0350109409190372,0.022172949002217297,32,1764,0,True
0.003650644328445196,0.017807456872565387,1.0,0.034991798797156914,0.0221606648199446,32,1765,0,True
0.0036501672584563494,0.017797552836484983,1.0,0.034972677595628415,0.0221483942414175,32,1766,0,True
0.0036494911182671785,0.017787659811006114,1.0,0.034953577280174765,0.02213613724405091,32,1767,0,True
0.003645534859970212,0.017777777777777778,1.0,0.034934497816593885,0.022123893805309734,32,1768,0,True
0.0036452177446335554,0.01776790671848973,1.0,0.03491543917075832,0.02211166390270868,32,1769,0,True
0.003644958371296525,0.017758046614872364,1.0,0.03489640130861505,0.022099447513812154,32,1770,0,True
0.0036447469610720873,0.01774819744869662,1.0,0.03487738419618529,0.022087244616234125,32,1771,0,True
0.0036415515933185816,0.017738359201773836,1.0,0.034858387799564274,0.02207505518763797,32,1772,0,True
0.0036392167676240206,0.01772853185595568,1.0,0.03483941208492107,0.02206287920573635,32,1773,0,True
0.003638660069555044,0.017718715393133997,1.0,0.03482045701849837,0.022050716648291068,32,1774,0,True
0.0036385825369507074,0.01770890979524073,1.0,0.034801522566612286,0.02203856749311295,32,1775,0,True
0.0036383643746376038,0.017699115044247787,1.0,0.034782608695652174,0.022026431718061675,32,1776,0,True
0.003637312212958932,0.017689331122166942,1.0,0.03476371537208039,0.02201430930104568,32,1777,0,True
0.0036361683160066605,0.017679558011049725,1.0,0.03474484256243214,0.022002200220022004,32,1778,0,True
0.003634447930380702,0.0176697956929873,1.0,0.03472599023331525,0.02199010445299615,32,1779,0,True
0.0036342148669064045,0.017660044150110375,1.0,0.03470715835140998,0.02197802197802198,32,1780,0,True
0.0036340539809316397,0.01765030336458908,1.0,0.034688346883468835,0.021965952773201538,32,1781,0,True
0.0036336397752165794,0.017640573318632856,1.0,0.03466955579631636,0.021953896816684963,32,1782,0,True
0.0036336209159344435,0.017630853994490357,1.0,0.034650785056848946,0.021941854086670324,32,1783,0,True
0.0036311980802565813,0.01762114537444934,1.0,0.03463203463203463,0.021929824561403508,32,1784,0,True
0.0036305526737123728,0.017611447440836543,1.0,0.03461330448891293,0.021917808219178082,32,1785,0,True
0.003630205988883972,0.0176017601760176,1.0,0.034594594594594595,0.02190580503833516,32,1786,0,True
0.003629285143688321,0.017592083562396922,1.0,0.03457590491626148,0.021893814997263273,32,1787,0,True
0.003628778038546443,0.017582417582417582,1.0,0.03455723542116631,0.02188183807439825,32,1788,0,True
0.0036274404264986515,0.01757276221856123,1.0,0.03453858607663249,0.02186987424822307,32,1789,0,True
0.003627125173807144,0.01756311745334797,1.0,0.034519956850053934,0.02185792349726776,32,1790,0,True
0.003626415040344,0.01755348326933626,1.0,0.03450134770889488,0.02184598580010923,32,1791,0,True
0.0036263291258364916,0.017543859649122806,1.0,0.034482758620689655,0.021834061135371178,32,1792,0,True
0.0036254196893423796,0.017534246575342465,1.0,0.03446418955304254,0.02182214948172395,32,1793,0,True
0.0036251540295779705,0.017524644030668127,1.0,0.03444564047362755,0.021810250817884406,32,1794,0,True
0.003625142388045788,0.01751505199781062,1.0,0.03442711135018827,0.021798365122615803,32,1795,0,True
0.0036240695044398308,0.0175054704595186,1.0,0.034408602150537634,0.02178649237472767,32,1796,0,True
0.0036235065199434757,0.017495899398578457,1.0,0.03439011284255777,0.021774632553075667,32,1797,0,True
0.003623155178502202,0.017486338797814208,1.0,0.034371643394199784,0.02176278563656148,32,1798,0,True
0.0036225407384335995,0.017476788640087382,1.0,0.03435319377348363,0.021750951604132682,32,1799,0,True
0.0036224822979420424,0.017467248908296942,1.0,0.034334763948497854,0.021739130434782608,32,1800,0,True
0.0036223996430635452,0.01745771958537916,1.0,0.03431635388739947,0.021727322107550243,32,1801,0,True
